Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
Ricardo (NEW),02/11/2025 09:22:26 AM,Engine Idle,"38.321541°, -122.305832°","1715 Trancas St, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/11/2025 09:54:02 AM,Engine Idle,"38.329166°, -122.327316°","4149 Linda Vista Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/11/2025 12:33:01 PM,Engine Idle,"38.320068°, -122.310470°","3383 Solano Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/12/2025 12:54:22 PM,Engine Idle,"38.218944°, -122.630829°","5 Lone Oak Ct, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/12/2025 06:14:07 PM,After Hours,"38.249164°, -122.625946°","94 N McDowell Blvd, Petaluma, CA 94954, USA",N/A,14.3
Ricardo (NEW),02/13/2025 10:42:33 AM,Engine Idle,"38.339241°, -122.304169°","1050 El Centro Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/13/2025 01:56:20 PM,Engine Idle,"38.315334°, -122.287239°","735 Joseph Ct, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/14/2025 03:33:05 PM,Engine Idle,"38.328602°, -122.682152°","1401 Magnolia Ave, Rohnert Park, CA 94928, USA",N/A,1.3
Ricardo (NEW),02/17/2025 10:32:55 AM,Harsh Cornering,"38.282753°, -122.300789°","766 S Freeway Dr, Napa, CA 94558, USA",N/A,30.4
Ricardo (NEW),02/17/2025 10:32:59 AM,Harsh Cornering,"38.282188°, -122.300567°","CA 29, Napa, CA 94558, USA",N/A,35.4
Ricardo (NEW),02/17/2025 12:26:58 PM,Engine Idle,"38.326946°, -122.488922°","16885 Hwy 12, Sonoma, CA 95476, USA",N/A,0.0
Ricardo (NEW),02/17/2025 01:38:59 PM,Harsh Cornering,"38.272465°, -122.670189°","5101 Montero Way, Petaluma, CA 94954, USA",N/A,37.4
Ricardo (NEW),02/18/2025 12:59:09 PM,Engine Idle,"38.327419°, -122.312652°","1912 Sierra Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/19/2025 10:18:03 AM,Engine Idle,"38.356739°, -122.693756°","5620 Country Club Dr, Rohnert Park, CA 94928, USA",N/A,0.0
Ricardo (NEW),02/19/2025 10:44:21 AM,Engine Idle,"38.359680°, -122.693939°","5290 Country Club Dr, Rohnert Park, CA 94928, USA",N/A,0.0
